"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 12 09:35:59 UTC 2024","Fri Apr 12 09:36:01 UTC 2024","1679","tests","test_elements","TestElements","","","Download and Upload file",""
"passed","Fri Apr 12 09:36:26 UTC 2024","Fri Apr 12 09:36:29 UTC 2024","3051","tests","test_interactions","TestInteractions","","","Selectable grid",""
"passed","Fri Apr 12 09:39:20 UTC 2024","Fri Apr 12 09:39:22 UTC 2024","1595","tests","test_windows","TestWindows","","","Non-standard frame",""
"passed","Fri Apr 12 09:36:07 UTC 2024","Fri Apr 12 09:36:23 UTC 2024","16035","tests","test_interactions","TestInteractions","","","Sorting grid",""
"passed","Fri Apr 12 09:36:54 UTC 2024","Fri Apr 12 09:36:59 UTC 2024","5123","tests","test_interactions","TestInteractions","","","Drop drag prevent propagation",""
"passed","Fri Apr 12 09:36:51 UTC 2024","Fri Apr 12 09:36:53 UTC 2024","2252","tests","test_interactions","TestInteractions","","","Drop drag not accept",""
"passed","Fri Apr 12 09:37:38 UTC 2024","Fri Apr 12 09:37:41 UTC 2024","2912","tests","test_interactions","TestInteractions","","","Container restriction with height: 50 and width: 40",""
"passed","Fri Apr 12 09:37:58 UTC 2024","Fri Apr 12 09:38:00 UTC 2024","1307","tests","test_practice_form","TestPracticeForm","","","Checking the submitted form ",""
"passed","Fri Apr 12 09:35:41 UTC 2024","Fri Apr 12 09:35:48 UTC 2024","6920","tests","test_elements","TestElements","","","Dynamic buttons",""
"passed","Fri Apr 12 09:38:05 UTC 2024","Fri Apr 12 09:38:10 UTC 2024","5264","tests","test_widgets","TestWidgets","","","Auto Complete",""
"passed","Fri Apr 12 09:36:43 UTC 2024","Fri Apr 12 09:36:46 UTC 2024","3558","tests","test_interactions","TestInteractions","","","Drop drag simple",""
"passed","Fri Apr 12 09:35:56 UTC 2024","Fri Apr 12 09:35:59 UTC 2024","2730","tests","test_elements","TestElements","","","Valid links",""
"passed","Fri Apr 12 09:37:08 UTC 2024","Fri Apr 12 09:37:14 UTC 2024","6112","tests","test_interactions","TestInteractions","","","Dragging by coordinates simple with height: 50 and width: 40",""
"failed","Fri Apr 12 09:35:53 UTC 2024","Fri Apr 12 09:35:55 UTC 2024","1547","tests","test_elements","TestElements","","","Broken links",""
"passed","Fri Apr 12 09:36:40 UTC 2024","Fri Apr 12 09:36:42 UTC 2024","1439","tests","test_interactions","TestInteractions","","","Resizable box with height: 700 and width: 700",""
"passed","Fri Apr 12 09:35:38 UTC 2024","Fri Apr 12 09:35:41 UTC 2024","2858","tests","test_elements","TestElements","","","Buttons",""
"passed","Fri Apr 12 09:37:44 UTC 2024","Fri Apr 12 09:37:47 UTC 2024","2616","tests","test_interactions","TestInteractions","","","Container restriction with height: 100 and width: 130",""
"passed","Fri Apr 12 09:39:09 UTC 2024","Fri Apr 12 09:39:17 UTC 2024","7420","tests","test_windows","TestWindows","","","Alert",""
"passed","Fri Apr 12 09:39:04 UTC 2024","Fri Apr 12 09:39:06 UTC 2024","1772","tests","test_widgets","TestWidgets","","","Date and time calendar",""
"passed","Fri Apr 12 09:36:47 UTC 2024","Fri Apr 12 09:36:50 UTC 2024","3101","tests","test_interactions","TestInteractions","","","Drop drag accept",""
