"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 12 09:45:03 UTC 2024","Fri Apr 12 09:45:06 UTC 2024","2883","tests","test_interactions","TestInteractions","","","Resizable box in box with height: 150 and width: 150",""
"passed","Fri Apr 12 09:49:49 UTC 2024","Fri Apr 12 09:49:58 UTC 2024","9427","tests","test_widgets","TestWidgets","","","Tooltip",""
"failed","Fri Apr 12 09:49:40 UTC 2024","Fri Apr 12 09:49:46 UTC 2024","6489","tests","test_widgets","TestWidgets","","","Tabs",""
"broken","Fri Apr 12 09:47:31 UTC 2024","Fri Apr 12 09:47:34 UTC 2024","3325","tests","test_practice_form","TestPracticeForm","","","Successful completion of the form",""
"passed","Fri Apr 12 09:48:18 UTC 2024","Fri Apr 12 09:49:19 UTC 2024","61253","tests","test_widgets","TestWidgets","","","Slider set value: 50",""
"passed","Fri Apr 12 09:46:12 UTC 2024","Fri Apr 12 09:46:17 UTC 2024","5067","tests","test_interactions","TestInteractions","","","Drop drag not revert",""
"broken","Fri Apr 12 09:43:39 UTC 2024","Fri Apr 12 09:43:42 UTC 2024","3516","tests","test_elements","TestElements","","","Checkbox",""
"passed","Fri Apr 12 09:45:24 UTC 2024","Fri Apr 12 09:45:31 UTC 2024","7109","tests","test_interactions","TestInteractions","","","Resizable box with height: 200 and width: 200",""
"passed","Fri Apr 12 09:45:51 UTC 2024","Fri Apr 12 09:45:54 UTC 2024","3103","tests","test_interactions","TestInteractions","","","Drop drag not accept",""
"passed","Fri Apr 12 09:50:28 UTC 2024","Fri Apr 12 09:50:32 UTC 2024","4041","tests","test_windows","TestWindows","","","Windows",""
"passed","Fri Apr 12 09:48:04 UTC 2024","Fri Apr 12 09:48:08 UTC 2024","4042","tests","test_widgets","TestWidgets","","","Slider set value: 1",""
"passed","Fri Apr 12 09:48:10 UTC 2024","Fri Apr 12 09:48:15 UTC 2024","4628","tests","test_widgets","TestWidgets","","","Slider set value: 25",""
"passed","Fri Apr 12 09:46:27 UTC 2024","Fri Apr 12 09:46:33 UTC 2024","5739","tests","test_interactions","TestInteractions","","","Dragging by coordinates simple with height: 90 and width: 70",""
"passed","Fri Apr 12 09:45:14 UTC 2024","Fri Apr 12 09:45:17 UTC 2024","3197","tests","test_interactions","TestInteractions","","","Resizable box in box with height: 300 and width: 500",""
"passed","Fri Apr 12 09:44:52 UTC 2024","Fri Apr 12 09:44:55 UTC 2024","3110","tests","test_interactions","TestInteractions","","","Selectable list",""
"broken","Fri Apr 12 09:44:46 UTC 2024","Fri Apr 12 09:44:49 UTC 2024","3241","tests","test_interactions","TestInteractions","","","Sorting grid",""
"failed","Fri Apr 12 09:47:42 UTC 2024","Fri Apr 12 09:47:47 UTC 2024","4736","tests","test_widgets","TestWidgets","","","Accordian",""
"failed","Fri Apr 12 09:44:14 UTC 2024","Fri Apr 12 09:44:17 UTC 2024","3121","tests","test_elements","TestElements","","","Image",""
"passed","Fri Apr 12 09:50:45 UTC 2024","Fri Apr 12 09:50:49 UTC 2024","3299","tests","test_windows","TestWindows","","","Frame",""
"broken","Fri Apr 12 09:44:37 UTC 2024","Fri Apr 12 09:44:43 UTC 2024","6928","tests","test_interactions","TestInteractions","","","Sorting list",""
"passed","Fri Apr 12 09:44:31 UTC 2024","Fri Apr 12 09:44:34 UTC 2024","3514","tests","test_elements","TestElements","","","Download and Upload file",""
"passed","Fri Apr 12 09:46:36 UTC 2024","Fri Apr 12 09:46:42 UTC 2024","6322","tests","test_interactions","TestInteractions","","","Dragging by coordinates simple with height: 130 and width: 130",""
"broken","Fri Apr 12 09:47:50 UTC 2024","Fri Apr 12 09:48:01 UTC 2024","11418","tests","test_widgets","TestWidgets","","","Auto Complete",""
"broken","Fri Apr 12 09:50:10 UTC 2024","Fri Apr 12 09:50:14 UTC 2024","4376","tests","test_widgets","TestWidgets","","","Select menu",""
"failed","Fri Apr 12 09:50:57 UTC 2024","Fri Apr 12 09:51:01 UTC 2024","3972","tests","test_windows","TestWindows","","","Modal dialogs",""
"passed","Fri Apr 12 09:45:19 UTC 2024","Fri Apr 12 09:45:22 UTC 2024","2506","tests","test_interactions","TestInteractions","","","Resizable box with height: 500 and width: 500",""
"broken","Fri Apr 12 09:50:34 UTC 2024","Fri Apr 12 09:50:43 UTC 2024","8526","tests","test_windows","TestWindows","","","Alert",""
"failed","Fri Apr 12 09:46:44 UTC 2024","Fri Apr 12 09:46:48 UTC 2024","3714","tests","test_interactions","TestInteractions","","","Axis restriction with height: 50 and width: 40",""
"passed","Fri Apr 12 09:44:25 UTC 2024","Fri Apr 12 09:44:28 UTC 2024","3642","tests","test_elements","TestElements","","","Valid links",""
"broken","Fri Apr 12 09:46:21 UTC 2024","Fri Apr 12 09:46:25 UTC 2024","3283","tests","test_interactions","TestInteractions","","","Dragging by coordinates simple with height: 50 and width: 40",""
