"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 26 10:39:33 UTC 2024","Fri Apr 26 10:39:36 UTC 2024","2500","tests","test_elements","TestElements","","","Text box",""
"passed","Fri Apr 26 10:40:57 UTC 2024","Fri Apr 26 10:40:58 UTC 2024","1471","tests","test_interactions","TestInteractions","","","Resizable box in box with height: 150 and width: 150",""
"passed","Fri Apr 26 10:44:39 UTC 2024","Fri Apr 26 10:44:41 UTC 2024","1979","tests","test_widgets","TestWidgets","","","Date and time calendar",""
"passed","Fri Apr 26 10:44:52 UTC 2024","Fri Apr 26 10:44:54 UTC 2024","1772","tests","test_windows","TestWindows","","","Frame",""
"passed","Fri Apr 26 10:40:21 UTC 2024","Fri Apr 26 10:40:26 UTC 2024","5083","tests","test_interactions","TestInteractions","","","Sorting list",""
"passed","Fri Apr 26 10:40:43 UTC 2024","Fri Apr 26 10:40:54 UTC 2024","11313","tests","test_interactions","TestInteractions","","","Selectable list",""
"failed","Fri Apr 26 10:42:01 UTC 2024","Fri Apr 26 10:42:05 UTC 2024","4265","tests","test_interactions","TestInteractions","","","Dragging by coordinates simple with height: 130 and width: 130",""
"failed","Fri Apr 26 10:42:31 UTC 2024","Fri Apr 26 10:42:34 UTC 2024","2427","tests","test_interactions","TestInteractions","","","Axis restriction with height: 130 and width: 130",""
"broken","Fri Apr 26 10:41:32 UTC 2024","Fri Apr 26 10:41:42 UTC 2024","10322","tests","test_interactions","TestInteractions","","","Drop drag prevent propagation",""
"failed","Fri Apr 26 10:44:57 UTC 2024","Fri Apr 26 10:45:00 UTC 2024","3037","tests","test_windows","TestWindows","","","Modal dialogs",""
"passed","Fri Apr 26 10:39:47 UTC 2024","Fri Apr 26 10:39:48 UTC 2024","1706","tests","test_elements","TestElements","","","Radio button)",""
"passed","Fri Apr 26 10:40:10 UTC 2024","Fri Apr 26 10:40:20 UTC 2024","10126","tests","test_elements","TestElements","","","Download and Upload file",""
"failed","Fri Apr 26 10:43:55 UTC 2024","Fri Apr 26 10:44:05 UTC 2024","9911","tests","test_widgets","TestWidgets","","","Tabs",""
"passed","Fri Apr 26 10:41:11 UTC 2024","Fri Apr 26 10:41:18 UTC 2024","7642","tests","test_interactions","TestInteractions","","","Resizable box with height: 500 and width: 500",""
